Date,Close
2014-04-01,564.058533
2014-04-02,563.899353
2014-04-03,566.62439
2014-04-04,540.169861
2014-04-07,535.207153
2014-04-08,551.86554
2014-04-09,561.054993
2014-04-10,537.991821
2014-04-11,527.698425
2014-04-14,529.60791
2014-04-15,533.50647
2014-04-16,553.496582
2014-04-17,533.168335
2014-04-21,525.729248
2014-04-22,531.885437
2014-04-23,524.058472
2014-04-24,522.288208
2014-04-25,513.3573
2014-04-28,514.32196
2014-04-29,524.81427
2014-04-30,523.779968
2014-05-01,528.444336
2014-05-02,525.04303
2014-05-05,524.923706
2014-05-06,512.322998
2014-05-07,507.171295
2014-05-08,508.205627
2014-05-09,515.893311
2014-05-12,527.022156
2014-05-13,530.174805
2014-05-14,523.77002
2014-05-15,517.136536
2014-05-16,517.782959
2014-05-19,525.967957
2014-05-20,526.872986
2014-05-21,535.992798
2014-05-22,542.079346
2014-05-23,549.677551
2014-05-27,562.855103
2014-05-28,558.608459
2014-05-29,557.017212
2014-05-30,556.828247
2014-06-02,550.900879
2014-06-03,541.960022
2014-06-04,541.681519
2014-06-05,550.871033
2014-06-06,553.28772
2014-06-09,559.046082
2014-06-10,557.484619
2014-06-11,555.783997
2014-06-12,548.334961
2014-06-13,548.742737
2014-06-16,541.30365
2014-06-17,540.040588
2014-06-18,550.343933
2014-06-19,551.86554
2014-06-20,553.317566
2014-06-23,561.860596
2014-06-24,561.53241
2014-06-25,575.485657
2014-06-26,572.850159
2014-06-27,574.083374
2014-06-30,572.134094
2014-07-01,579.483704
2014-07-02,579.150513
2014-07-03,581.53241
2014-07-07,579.065979
2014-07-08,567.967041
2014-07-09,572.929749
2014-07-10,567.976929
2014-07-11,576.012756
2014-07-14,581.671631
2014-07-15,581.582153
2014-07-16,579.473755
2014-07-17,570.59259
2014-07-18,591.825806
2014-07-21,586.246521
2014-07-22,591.487671
2014-07-23,592.720886
2014-07-24,590.105286
2014-07-25,585.79895
2014-07-28,587.3703
2014-07-29,582.407593
2014-07-30,584.207703
2014-07-31,568.474243
2014-08-01,562.974487
2014-08-04,570.015747
2014-08-05,561.979919
2014-08-06,563.276794
2014-08-07,560.279297
2014-08-08,565.659729
2014-08-11,564.774536
2014-08-12,559.65271
2014-08-13,571.636841
2014-08-14,571.507568
2014-08-15,570.343933
2014-08-18,578.976501
2014-08-19,583.650757
2014-08-20,581.293762
2014-08-21,580.179871
2014-08-22,579.374268
2014-08-25,577.027222
2014-08-26,574.700012
2014-08-27,567.877502
2014-08-28,566.087341
2014-08-29,568.474243
2014-09-02,574.172913
2014-09-03,574.779541
2014-09-04,578.797485
2014-09-05,582.875061
2014-09-08,586.495117
2014-09-09,577.832764
2014-09-10,579.911316
2014-09-11,578.170898
2014-09-12,572.472229
2014-09-15,569.966003
2014-09-16,576.778564
2014-09-17,581.572205
2014-09-18,586.047607
2014-09-19,592.820374
2014-09-22,584.157959
2014-09-23,577.952087
2014-09-24,584.774597
2014-09-25,571.915283
2014-09-26,573.944153
2014-09-29,573.208191
2014-09-30,574.202698
2014-10-01,565.162415
2014-10-02,566.962524
2014-10-03,572.134094
2014-10-06,574.192749
2014-10-07,560.657227
2014-10-08,569.369324
2014-10-09,557.812866
2014-10-10,541.512451
2014-10-13,530.294128
2014-10-14,534.998291
2014-10-15,527.131531
2014-10-16,521.641724
2014-10-17,508.374695
2014-10-20,517.991821
2014-10-21,523.660645
2014-10-22,529.796875
2014-10-23,541.005249
2014-10-24,536.828247
2014-10-27,537.812805
2014-10-28,545.898376
2014-10-29,546.325989
2014-10-30,547.300659
2014-10-31,556.022705
2014-11-03,552.183777
2014-11-04,551.079895
2014-11-05,542.934631
2014-11-06,539.075867
2014-11-07,538.051514
2014-11-10,544.496094
2014-11-11,547.280762
2014-11-12,544.317078
2014-11-13,542.397583
2014-11-14,541.422974
2014-11-17,533.576111
2014-11-18,532.104187
2014-11-19,534.053467
2014-11-20,531.905273
2014-11-21,534.560669
2014-11-24,536.321045
2014-11-25,538.121094
2014-11-26,537.414978
2014-11-28,538.867004
2014-12-01,530.88092
2014-12-02,530.831177
2014-12-03,528.41449
2014-12-04,534.371765
2014-12-05,522.387634
2014-12-08,524.098206
2014-12-09,530.453308
2014-12-10,523.183228
2014-12-11,525.450806
2014-12-12,515.82373
2014-12-15,510.990295
2014-12-16,492.680969
2014-12-17,502.129028
2014-12-18,508.305054
2014-12-19,513.526367
2014-12-22,521.999756
2014-12-23,527.688477
2014-12-24,525.878418
2014-12-26,531.10968
2014-12-29,527.429932
2014-12-30,527.519409
2014-12-31,523.521423
2015-01-02,521.937744
2015-01-05,511.057617
2015-01-06,499.212799
2015-01-07,498.357513
2015-01-08,499.928864
2015-01-09,493.454498
2015-01-12,489.854309
2015-01-13,493.464447
2015-01-14,498.128784
2015-01-15,499.043732
2015-01-16,505.299316
2015-01-20,504.125763
2015-01-21,515.204773
2015-01-22,531.465332
2015-01-23,536.994873
2015-01-26,532.280823
2015-01-27,515.791565
2015-01-28,507.208801
2015-01-29,507.865204
2015-01-30,531.594604
2015-02-02,525.587646
2015-02-03,526.343506
2015-02-04,519.898987
2015-02-05,524.692566
2015-02-06,528.093872
2015-02-09,524.941223
2015-02-10,534.001343
2015-02-11,533.036682
2015-02-12,539.958557
2015-02-13,546.00531
2015-02-17,539.86908
2015-02-18,536.746277
2015-02-19,539.901306
2015-02-20,536.000366
2015-02-23,528.998901
2015-02-24,533.156006
2015-02-25,540.893433
2015-02-26,552.43988
2015-02-27,555.343933
2015-03-02,568.213074
2015-03-03,570.500488
2015-03-04,570.231995
2015-03-05,572.181274
2015-03-06,564.578125
2015-03-09,565.736694
2015-03-10,551.972473
2015-03-11,548.163452
2015-03-12,552.469727
2015-03-13,544.324585
2015-03-16,551.47522
2015-03-17,547.825317
2015-03-18,556.437866
2015-03-19,554.936157
2015-03-20,557.293213
2015-03-23,555.751648
2015-03-24,567.069397
2015-03-25,555.726807
2015-03-26,552.131592
2015-03-27,545.338989
2015-03-30,549.008789
2015-03-31,545.000854
2015-04-01,539.590576
2015-04-02,532.59906
2015-04-06,533.827332
2015-04-07,534.080933
2015-04-08,538.645813
2015-04-09,537.820374
2015-04-10,537.054565
2015-04-13,536.219177
2015-04-14,527.487183
2015-04-15,529.617859
2015-04-16,530.87854
2015-04-17,521.181885
2015-04-20,532.44989
2015-04-21,531.049988
2015-04-22,536.413086
2015-04-23,544.006287
2015-04-24,561.967468
2015-04-27,555.369995
2015-04-28,553.679993
2015-04-29,549.080017
2015-04-30,537.340027
2015-05-01,537.900024
2015-05-04,540.780029
2015-05-05,530.799988
2015-05-06,524.219971
2015-05-07,530.700012
2015-05-08,538.219971
2015-05-11,535.700012
2015-05-12,529.039978
2015-05-13,529.619995
2015-05-14,538.400024
2015-05-15,533.849976
2015-05-18,532.299988
2015-05-19,537.359985
2015-05-20,539.27002
2015-05-21,542.51001
2015-05-22,540.109985
2015-05-26,532.320007
2015-05-27,539.789978
2015-05-28,539.780029
2015-05-29,532.109985
2015-06-01,533.98999
2015-06-02,539.179993
2015-06-03,540.309998
2015-06-04,536.700012
2015-06-05,533.330017
2015-06-08,526.830017
2015-06-09,526.690002
2015-06-10,536.690002
2015-06-11,534.609985
2015-06-12,532.330017
2015-06-15,527.200012
2015-06-16,528.150024
2015-06-17,529.26001
2015-06-18,536.72998
2015-06-19,536.690002
2015-06-22,538.190002
2015-06-23,540.47998
2015-06-24,537.840027
2015-06-25,535.22998
2015-06-26,531.690002
2015-06-29,521.52002
2015-06-30,520.51001
2015-07-01,521.840027
2015-07-02,523.400024
2015-07-06,522.859985
2015-07-07,525.02002
2015-07-08,516.830017
2015-07-09,520.679993
2015-07-10,530.130005
2015-07-13,546.549988
2015-07-14,561.099976
2015-07-15,560.219971
2015-07-16,579.849976
2015-07-17,672.929993
2015-07-20,663.02002
2015-07-21,662.299988
2015-07-22,662.099976
2015-07-23,644.280029
2015-07-24,623.559998
2015-07-27,627.26001
2015-07-28,628
2015-07-29,631.929993
2015-07-30,632.590027
2015-07-31,625.609985
2015-08-03,631.210022
2015-08-04,629.25
2015-08-05,643.780029
2015-08-06,642.679993
2015-08-07,635.299988
2015-08-10,633.72998
2015-08-11,660.780029
2015-08-12,659.559998
2015-08-13,656.450012
2015-08-14,657.119995
2015-08-17,660.869995
2015-08-18,656.130005
2015-08-19,660.900024
2015-08-20,646.830017
2015-08-21,612.47998
2015-08-24,589.609985
2015-08-25,582.059998
2015-08-26,628.619995
2015-08-27,637.609985
2015-08-28,630.380005
2015-08-31,618.25
2015-09-01,597.789978
2015-09-02,614.340027
2015-09-03,606.25
2015-09-04,600.700012
2015-09-08,614.659973
2015-09-09,612.719971
2015-09-10,621.349976
2015-09-11,625.77002
2015-09-14,623.23999
2015-09-15,635.140015
2015-09-16,635.97998
2015-09-17,642.900024
2015-09-18,629.25
2015-09-21,635.440002
2015-09-22,622.690002
2015-09-23,622.359985
2015-09-24,625.799988
2015-09-25,611.969971
2015-09-28,594.890015
2015-09-29,594.969971
2015-09-30,608.419983
2015-10-01,611.289978
2015-10-02,626.909973
2015-10-05,641.469971
2015-10-06,645.440002
2015-10-07,642.359985
2015-10-08,639.159973
2015-10-09,643.609985
2015-10-12,646.669983
2015-10-13,652.299988
2015-10-14,651.159973
2015-10-15,661.73999
2015-10-16,662.200012
2015-10-19,666.099976
2015-10-20,650.280029
2015-10-21,642.609985
2015-10-22,651.789978
2015-10-23,702
2015-10-26,712.780029
2015-10-27,708.48999
2015-10-28,712.950012
2015-10-29,716.919983
2015-10-30,710.809998
2015-11-02,721.109985
2015-11-03,722.159973
2015-11-04,728.109985
2015-11-05,731.25
2015-11-06,733.76001
2015-11-09,724.890015
2015-11-10,728.320007
2015-11-11,735.400024
2015-11-12,731.22998
2015-11-13,717
2015-11-16,728.960022
2015-11-17,725.299988
2015-11-18,740
2015-11-19,738.409973
2015-11-20,756.599976
2015-11-23,755.97998
2015-11-24,748.280029
2015-11-25,748.150024
2015-11-27,750.26001
2015-11-30,742.599976
2015-12-01,767.039978
2015-12-02,762.380005
2015-12-03,752.539978
2015-12-04,766.809998
2015-12-07,763.25
2015-12-08,762.369995
2015-12-09,751.609985
2015-12-10,749.460022
2015-12-11,738.869995
2015-12-14,747.77002
2015-12-15,743.400024
2015-12-16,758.090027
2015-12-17,749.429993
2015-12-18,739.309998
2015-12-21,747.77002
2015-12-22,750
2015-12-23,750.309998
2015-12-24,748.400024
2015-12-28,762.51001
2015-12-29,776.599976
2015-12-30,771
2015-12-31,758.880005
2016-01-04,741.840027
2016-01-05,742.580017
2016-01-06,743.619995
2016-01-07,726.390015
2016-01-08,714.469971
2016-01-11,716.030029
2016-01-12,726.070007
2016-01-13,700.559998
2016-01-14,714.719971
2016-01-15,694.450012
2016-01-19,701.789978
2016-01-20,698.450012
2016-01-21,706.590027
2016-01-22,725.25
2016-01-25,711.669983
2016-01-26,713.039978
2016-01-27,699.98999
2016-01-28,730.960022
2016-01-29,742.950012
2016-02-01,752
2016-02-02,764.650024
2016-02-03,726.950012
2016-02-04,708.01001
2016-02-05,683.570007
2016-02-08,682.73999
2016-02-09,678.109985
2016-02-10,684.119995
2016-02-11,683.109985
2016-02-12,682.400024
2016-02-16,691
2016-02-17,708.400024
2016-02-18,697.349976
2016-02-19,700.909973
